Term,Definitions
Per,"The time interval over which a characterization applies.
								For example, the number of bytes generated each day."
Perpendicular,At right angles to a given direction.
Person,An individual human being.
PersonID,The identifier assigned to a Person description.
PersonName,The words used to address an individual.
Perturbation,Variations in the state of a system.
Phase,A point or portion in a recurring series of changes.
PhaseAngle,"Phase difference between two or more waves, normally
								expressed in degrees."
PhaseSpaceDensity,"The number of particles per unit volume in the
								six-dimensional space of position and velocity."
PhenomenonType,The characteristics or categorization of an event type.
Phobos,The larger and inner most moon of Mars.
PhoneNumber,"The symbols and numerals required to contact an
								individual by telephone. The string may contain punctuation marks such as dash (-) or
								dot (.) to separate fields within the string."
Photograph,"An image (positive or negative) registered on a piece of
								photo-sensitive paper"
PhotographicPlate,"A rigid (typically glass) medium that functions like
								film. Its rigidity is for guarding against image distortion due to medium deformation
								(caused by heat and humidity). Photographic plates are often used for astronomical
								photography."
Photometer,"An instrument which measures the strength of
								electromagnetic radiation within a spectral band which can range from ultraviolet to
								infrared and includes the visible spectrum."
PhotomultiplierTube,"A vacuum phototube that is an extremely sensitive
								detector of light in the ultraviolet, visible, and near-infrared ranges of the
								electromagnetic spectrum."
Photon,"Electromagnetic waves detected by techniques that utilize
								their corpuscular character (e.g., CCD, CMOS, photomultipliers)."
Photopolarimeter,"An instrument which measures the intensity and
								polarization or radiant energy. A photopolarimeter is a combination of a photometer and
								a polarimeter."
Photosphere,"The atmospheric layer of the Sun or a star from which
								continuum radiation, especially optical, is emitted to space. For the Sun, the
								photosphere is about 500 km thick."
PitchAngleRange,"The range of possible pitch angles for a group of
								particle observations."
PlasmaBeta,"The ratio of the plasma pressure (nkT) to the magnetic
								pressure (B^2/2mu0) of the SUM(nkT)/(B^2/2mu0)."
PlasmaFrequency,"A number-density-dependent characteristic frequency of a
								plasma."
Plasmagram,"The characterization of signal strengths in active
								sounding measurements as a function of virtual range or signal delay time and sounding
								frequency. A Plasmagram is also referred to as an Ionogram."
Plasmasphere,"A region of the magnetosphere consisting of low energy
								(cool) plasma. It is located above the ionosphere. The outer boundary of the
								plasmasphere is known as the plasmapause, which is defined by an order of magnitude drop
								in plasma density."
PlasmaWaves,"Self-consistent collective oscillations of particles and
								fields (electric and magnetic) in a plasma."
Platform,"A collection of components which can be positioned and
								oriented as a single unit. A platform may contain other platforms. For example, a
								spacecraft is a platform which may have components that can be articulated and are also
								considered platforms."
Pluto,The ninth (sub)planet from the sun in our solar system.
PNG,"A digital format for still images. Portable Network
								Graphics (PNG)"
Polar,"The region near the pole of a body. For a magnetosphere
								the polar region is the area where magnetic field lines are open and includes the
								auroral zone."
PolarAngle,"The angle between the position or measured vector and the
								k-axis of the coordinate system. Mathematically defined as arctan([SQRT(i^2+j^2)]/k).
								This term could be also applied to angles between the vector and other components, for
								example the IMF cone angle defined as arccos(Bx/Bt)."
PolarAngleRange,"The range of possible polar angles for a group of energy
								observations. Defaults units are degrees."
PolarCap,"The areas of the globe surrounding the poles and
								consisting of the region north of 60 degrees north latitude an the region south of 60
								degrees south latitude."
Policy,"A deliberate system of principles to guide decisions and
								achieve rational outcomes. A policy is a statement of intent, and is implemented as a
								procedure or protocol."
Polarization,"Direction of the electric vector of an electromagnetic
								wave. The wave can be linearly polarized in any direction perpendicular to the direction
								of travel, circularly polarized (clockwise or counterclockwise), unpolarized, or
								mixtures of the above."
Positional,"The specification of the location of an object or
								measurement within a reference coordinate system. The position is usually expressed as a
								set of values corresponding to the location along a set of orthogonal axes together with
								the date/time of the observation."
Positron,"An elementary particle consisting of a charge of positive
								electricity equal to about 1.602 x 10^(-19) Coulomb and having a mass when at rest of
								about 9.109534 x 10^(-28) gram."
Poster,"A set of information arranged on a single page or sheet,
								typically in a large format."
Postscript,"A page description programming language created by Adobe
								Systems Inc. that is a device-independent industry standard for representing text and
								graphics."
Potential,"The work required per unit charge to move a charge from a
								reference point to a point at infinity (electric potential is defined to be zero). The
								electric potential of a spacecraft is often referred to as the ""spacecraft potential"".
								The spacecraft potential is the electric potential of the spacecraft relative to the
								potential of the nearby plasma. The spacecraft potential is non-zero because the
								spacecraft charges to the level that the emitted photoelectron flux going to infinity is
								balanced by the plasma electron flux to the spacecraft."
PowerSpectralDensity,"The Power Spectral Density, PSD, is the measure of signal
								power content versus frequency, energy, wave number, etc. A PSD is typically used to
								characterize broadband random signals. The amplitude of the PSD is normalized by the
								spectral resolution employed to digitize the signal."
PoyntingFlux,"Electromagnetic energy flux transported by a wave
								characterized as the rate of energy transport per unit area per steradian."
Presentation,"A set of information that is used when communicating to
								an audience."
Pressure,"The force per unit area exerted by a particle
								distribution or field."
PrincipalInvestigator,"An individual who is the administrative and scientific
								lead for an investigation."
Print,"A sheet of any written or printed material which may
								include notes or graphics. Multiple printed pages may be bound into a manuscript or
								book."
Prerequisites,"A thing that is required to be installed on your computer
								in order to run or compile the software."
ExecutionEnvironment,"An execution platform for software which includes an
								operating system and necessary hardware."
PriorID,"The resource identifier for a resource that is superseded
								or replaced by a resource."
Probable,"Likely given the available evidence. Considered in the
								range of 4-7 on a scale of 0-10."
ProcessingLevel,"The standard classification of the processing performed
								on the product."
ProductKey,"A string of characters used to uniquely identify a
								particular product within a Repository. The style or format of the identifier is
								determined by the Repository. The kinds of resources which can be acessed include, but
								are not limited to, numerical data, display data, documents and event lists. The method
								to access the product is determined by the attributes of an access service."
Profile,"Measurements of a quantity as a function of height above
								an object such as the limb of a body."
ProgramManager,"An individual whose major task entails direction of
								program team members such that the full organization achieves the objectives and goals
								of a program. The Program Manager is expected to provide clear guidance and resolve
								conflicts and issues while maintaining focus on achieving program success."
ProgramScientist,"A program scientist is someone who performs a range of
								scientific program planning duties, takes responsibility for the science content of
								flight mission programs or projects. A program scientist develops, reviews, and provides
								recommendations for proposed program requirements, expected results, budgetary estimates
								and also establishes methods and procedures to reduce program costs, provides expert
								advice to management on strategic planning and program development, develops and manages
								research program, and presents issues and proposes solutions to senior management."
Project,"The name of an organized activity with a stated goal or
								objective."
ProjectEngineer,"An engineer tasked with the full suite of
								responsibilities as a project transitions through requirements derivation and
								preliminary design into controlled hardware development, assembly and environmental
								testing. The Project Engineer manages a team while developing the cadence of hardware
								manufacturing and assembly until instrument deployment and through the end of the
								mission."
Projection,"A measure of the length of a position or measured vector
								as projected into a plane of the coordinate system."
ProjectManager,"An individual whose major task entails direction of
								project team members such that the full organization achieves the objectives and goals
								of the mission. The Project Manager is expected to provide clear guidance and resolve
								conflicts and issues while maintaining focus on achieving mission success."
ProjectScientist,"An individual who is an expert in the phenomenon and
								related physics explored by the project. A project scientist may also have a managerial
								role within the project."
PropagationTime,"Time difference between transmission and reception of a
								wave in an active wave experiment."
Property,"A container of attributes regarding the property of an
								application."
ProportionalCounter,"An instrument which measures energy of ionization
								radiation based on interactions with a gas."
Proteus,The second largest moon of Neptune.
Proton,"An elementary particle that is a constituent of all
								atomic nuclei, that carries a positive charge numerically equal to the charge of an
								electron, and that has a mass of 1.673 x 10^(-24) gram."
ProviderName,"The source, or original provider, of the data (for
								example, PDS PPI)."
ProviderProcessingLevel,"The provider specific information on the processing
								performed on the product. This should include the provider processing level designation
								and information about the intended use of the product. For example, if it is to be used
								for machine learning or other high level applications."
ProviderResourceName,"A short textual description of a resource used by the
								provider which may be used to identify a resource."
ProviderVersion,"Describes the release or edition of the product used by
								the provider. The formation rule may vary between providers. It is intended to aid in
								queries to the provider regarding the product."
Pseudo,"Similar to or having the appearance of something else.
								Can be used to indicate an estimation or approximation of a particular quantity."
PublicationDate,The date that the work was first published.
PublicationInfo,"Information related to the issuing of a book, journal,
								piece of music, or other work."
PublishedBy,"The name or the company, organization or individual that
								published the work."
Publisher,"An individual, organization, institution or government
								department responsible for the production and dissemination of a document."
Puck,The largest inner spherical moon of Uranus.
QuadrisphericalAnalyser,"An instrument used for the 3-D detection of plasma,
								energetic electrons and ions, and for positive-ion composition measurements."
Qualifier,"Characterizes the refinement to apply to a type or
								attribute of a quantity."
Quantity,A value that describes a characteristic of a system.
QuickTime,"A format for digital movies, as defined by Apple
								Computer. See <http://developer.apple.com/quicktime/>"
Radar,"An instrument that uses directional properties of
								returned power to infer spatial and/or other characteristics of a remote object."
Radiance,"A radiometric measurement that describes the amount of
								electromagnetic radiation that passes through or is emitted from a particular area, and
								falls within a given solid angle in a specified direction. They are used to characterize
								both emission from diffuse sources and reflection from diffuse surfaces."
RadiationBelt,"The region within a magnetosphere where high-energy
								particles could potentially be trapped in a magnetic field."
RadioBurst,"Emissions of the sun in radio wavelengths from
								centimeters to dekameters, under both quiet and disturbed conditions. Radio Bursts can
								be ""Type I"" consisting of many short, narrow-band bursts in the metric range (300 - 50
								MHz).; ""Type II"" consisting of narrow-band emission that begins in the meter range (300
								MHz) and sweeps slowly (tens of minutes) toward dekameter wavelengths (10 MHz).; ""Type
								III"" consisting of narrow-band bursts that sweep rapidly (seconds) from decimeter to
								dekameter wavelengths (500 - 0.5 MHz); and ""Type IV"" consisting of a smooth continuum of
								broad-band bursts primarily in the meter range (300 - 30 MHz)."
RadioFrequency,"Photons with a wavelength range: 100,000 to 1.00x10^11
								nm."
Radiometer,"An instrument for detecting or measuring radiant energy.
								Radiometers are commonly limited to infrared radiation."
Ratio,The relative magnitudes of two quantities.
Raw,"Data in its original state with no processing to account
								for calibration. Similar to NASA Level 0."
RealPart,"Any number z can in general be represented by its complex
								form with z = a + ib where i, which is defined as the square root of -1, signifies the
								imaginary component of the number z. The coefficient a is called the real part of the
								complex number z."
Registry,A location or facility where resources are cataloged.
RelativeStopDate,"An indication of the nominal end date relative to the
								present."
ReleaseDate,"The date and time when a resource is made available. The
								availability of a resource coincides with the release of a resource description. If the
								Release Date is specified as a future date then it indicates that resource should not be
								made available until that time. However, this is only advisory and in practice the
								Release Date should be the actual date the resource description was published."
Remote1AU,"A roughly toroidal region that includes the Earth's
								orbit, but exclusive of the region near the Earth."
RenderingAxis,"A reference component of a plot or rendering of data. A
								plot typically is a 2-dimensional rendering with a horizontal and verticle axis. A third
								dimension can be introduced with a color coding of the rendered data."
RenderingHints,Attributes to aid in the rendering of parameter.
Report,"A document which describes the findings of some
								individual or group."
Repository,A location or facility where resources are stored.
RepositoryID,The identifier of an Repository resource.
ResonanceSounder,"A combination of a radio receiver and a pulsed
								transmitter used to study the plasma surrounding a spacecraft by identifying resonances
								or cut-offs (of the wave dispersion relation), whose frequencies are related to the
								ambient plasma density and magnetic field. When the transmitter is off it is essentially
								a high frequency-resolution spectral power receiver."
ResourceHeader,"Attributes of a resource which pertain to the provider of
								the resource and descriptive information about the resource."
ResourceID,"A Resource ID is a URI that has the form
								""scheme://authority/path"" where ""scheme"" is ""spase"" for those resources administered
								through the SPASE framework, ""authority"" is the unique identifier for the resource
								provider registered within the SPASE framework and ""path"" is the unique identifier of
								the resource within the context of the ""authority"". The resource ID must be unique
								within the SPASE framework."
ResourceName,"A short textual description of a resource which may be
								useful when read by a person."
Restricted,"Access to the product is regulated and requires some form
								of identification."
RetardingPotentialAnalyser,"An instrument which measures ion temperatures and ion
								concentrations using a planar ion trap."
RevisionEvent,A specific change that improves or upgrades.
RevisionHistory,A history of changes that improve or upgrade.
RevisionOf,A modified version of a resource instance.
Rhea,"The second-largest moon of Saturn and the ninth-largest
								moon in the Solar System."
RingCurrent,"One of the major current systems confined within
								planetary magnetospheres. The ring current circles in the magnetic equatorial plane of
								magnetospheres. It is generated by the longitudinal drift of energetic charged particles
								trapped on inner, dipole-like magnetospheric field lines. At the Earth, the ring current
								is carried by 10 to 200 keV charged particles typically located at L-shells between 3
								and 6. The ring current is also the primary driver of the Sym H and Dst Indices of
								magnetic storm activity at the Earth."
Riometer,"An instrument which measure the signal strength in
								various directions of the galactic radio signals. Variations in these signals are
								influenced by solar flare activity and geomagnetic storm and substorm processes."
Role,"The assigned or assumed function or position of an
								individual."
RORIdentifier,"The assigned Research Organization Registry (ROR)
								identifier. See https://ror.org/"
RotationMatrix,"A tensor that is used to perform vector data
								transformation from one coordinate system to another."
RTN,"Radial Tangential Normal. Typically centered at a
								spacecraft. Used for IMF and plasma V vectors. The X axis (radial) is set as the primary
								axis, and is defined as the axis pointing from the spacecraft to the Sun. The Z axis
								(tangential) is set as the secondary axis, and is defined as that portion of the solar
								North rotational axis which is perpendicular to the primary axis. The Y axis (normal) is
								defined as Z cross X."
S3_BUCKET,"A container of objects that comply with the Amazon Simple
								Storage Service (S3) specifications. A bucket has a unique, user-assigned key (name). A
								bucket can contain any number of objects with an aggregate size of 5 gigabytes. A bucket
								may be accompanied by up to 2 kilobytes of metadata."
Saturn,The sixth planet from the sun in our solar system.
SC,"Spacecraft - A coordinate system defined by the
								spacecraft geometry and/or spin. Often has Z axis parallel to spacecraft spin vector. X
								and Y axes may or may not corotate with the spacecraft. See SR and SR2 below."
Scalar,"A quantity that is completely specified by its magnitude
								and has no direction."
ScaleMax,"The maximum value that the variable is expected to
								attain. Used, for example, by automated plotting software."
ScaleMin,"The minimum value that the variable is expected to
								attain. Used, for example, by automated plotting software."
ScaleType,"The scaling to apply to an axis. If this attribute is not
								present, linear scale should be assumed."
Scientist,"An individual who is an expert in the phenomenon and
								related physics represented by the resource."
ScintillationDetector,"An instrument which detects flouresences of a material
								which is excited by high energy (ionizing) electromagnetic or charged particle
								radiation."
SE,"Solar Ecliptic - A heliocentric coordinate system where
								the Z axis is normal to the ecliptic plane, positive northward. X axis is positive
								towards the first point of Aries (from Earth to Sun at vernal equinox). Same as HAE
								above. See <http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>"
Search,A web search interface that requires additional input.
SearchCoil,"An instrument which measures the time variation of the
								magnetic flux threading a loop by measurement of the electric potential difference
								induced between the ends of the wire."
SectorBoundaryCrossing,"A sector boundary crossing is a transit by a spacecraft
								across the heliospheric current sheet separating the dominantly outward
								(away-from-the-sun) interplanetary magnetic field of one hemisphere of the heliosphere
								from the dominantly inward (toward-the-sun) polarity of the other hemisphere. Such
								crossings have multi-day intervals of opposite IMF dominant polarities on either side."
Service,"A location or facility that can perform a well defined
								task."
Set,A collection of items for a particular purpose.
SHA1,"Secure Hash Algorithm (SHA), a 160-bit message digest
								algorithm developed by the NSA and described in Federal Information Processing Standard
								(FIPS) publication 180-1."
SHA256,"Secure Hash Algorithm (SHA), a 256-bit message digest
								algorithm developed by the NSA and described in Federal Information Processing Standard
								(FIPS) publication 180-1."
Size,"The number of elements in each dimension of a
								multi-dimensional array. A scalar has a size of 1. A multi-dimensional vector will have
								a size for each dimension. Note that the number of elements in the size of an
								N-dimensional array conveys the array's dimensionality while the product of those
								numbers conveys the total number of elements in the array. When size is used to describe
								a tensor it is the number of elements in the tensor. As such it has a limited set of
								values. A tensor of rank 1 has a size of 3, rank 2 a size of 9, rank 3 a size of 27 and
								rank n a size of 3^n."
SM,"Solar Magnetic - A geocentric coordinate system where the
								Z axis is northward along Earth's dipole axis, X axis is in plane of z axis and
								Earth-Sun line, positive sunward. See Russell, 1971."
Software,"An application which can be installed, built or readily
								used."
SoftwareVersion,"Describes the edition of the software release. The
								formation rule for the version may vary between software packages. It is intended to aid
								in queries to the software provider regarding the software."
SoftXRays,X-Rays with an energy range of 0.12 keV to 12 keV.
SolarFlare,"An explosive event in the Sun's atmosphere which produces
								electromagnetic radiation across the electromagnetic spectrum at multiple wavelengths
								from long-wave radio to the shortest wavelength gamma rays."
SolarUVFlux,"The amount of Ultraviolet energy originating from the Sun
								passing through a unit area in a unit time."
SolarWindExtreme,"Intervals of unusually large or small values of solar
								wind attributes such as flow speed and ion density."
SolidAngle,"Integration over the angle in three-dimensional space
								that an object subtends at a point."
SolidStateDetector,"A detector of the charge carriers (electrons and holes)
								generated in semiconductors by energy deposited by gamma ray photons. Also known as a
								""semiconductor detector""."
SonicMachNumber,"The ratio of the bulk flow speed to the speed of sound in
								the medium."
Sounder,"An instrument which measures the radiances from an
								object. A sounder may measure radiances at multiple spectral ranges."
SoundSpeed,The speed at which sound travels through a medium.
Source,The location and attributes of an object.
SourceType,"A characterization of the function or purpose of the
								source."
SouthAtlanticAnomalyRegion,"The region where the Earth's inner van Allen radiation
								belt makes its closest approach to the planet's surface. The result is that, for a given
								altitude, the radiation intensity is higher over this region than elsewhere."
SpacecraftOrbitPlane,"A coordinate system where X lies in the plane normal to
								and in the direction of motion of the spacecraft, Z is normal to this plane and Y
								completes the triad in a right-handed coordinate system."
SpacecraftPotentialControl,"An instrument to control the electric potential of a
								spacecraft with respect to the ambient plasma by emitting a variable current of positive
								ions."
Spase,"Space Physics Archive Search and Extract (SPASE). The
								outermost container or envelope for SPASE metadata. This indicates the start of the
								SPASE metadata."
Specification,"A detailed description of the requirements and other
								aspects of an object or component that may be used to develop an implementation."
Spectral,Characterized as a range or continuum of frequencies.
SpectralPowerReceiver,"A radio receiver which determines the power spectral
								density of the electric or magnetic field, or both, at one or more frequencies."
SpectralRange,"The general term used to describe wavelengths or
								frequencies within a given span of values for those quantities."
Spectrogram,"The characterization of signal strengths as a function of
								frequency (or energy) and time."
Spectrometer,"An instrument that measures the component wavelengths of
								light (or other electromagnetic radiation) by splitting the light up into its component
								wavelengths."
Spectrum,"The distribution of a characteristic of a physical system
								or phenomenon, such as the energy emitted by a radiant source, arranged in the order of
								wavelengths."
Spherical,"A coordinate representation of a position vector or of a
								measured vector by its magnitude and two direction angles. The angles are relative to
								the base axes of the coordinate system used. Typically the angles are phi [azimuth
								angle, =arctan (j/i)] and theta, where theta may be a polar angle, arctan
								{[SQRT(i^2+j^2)]/k}, or an elevation angle, arctan [k/SQRT (i^2+j^2)]."
SPICE,"SPICE is an ancillary information system that provides
								scientists and engineers the capability to include space geometry and event data into
								mission design, science observation planning, and science data analysis software. The
								staff of the NASA Navigation and Ancillary Information Facility, NAIF, which is located
								at JPL provides SPICE support for planetary, heliophysics, and Earth science missions,
								see https://naif.jpl.nasa.gov/naif/index.html. This SPICE has been adapted from text on
								NAF hosted web pages."
SpinPeriod,"The time required for an object such as a spacecraft or
								planet to perform one full rotation in a given frame of reference."
SpinPhase,"An angular based or normalized parameter that specifies
								the spin state of an object such as a spacecraft or planet in a specific coordinate
								system usually together with the date/time of the observation."
SpinRate,"The angular rate of change of the spin angle of an
								object such as a spacecraft or planet."
SR,"Spin Reference - A special case of a Spacecraft (SC)
								coordinate system for a spinning spacecraft. Z is parallel to the spacecraft spin
								vector. X and Y rotate with the spacecraft. See <http://cdpp.cnes.fr/00428.pdf>"
SR2,"Spin Reference 2 - A special case of a Spacecraft (SC)
								coordinate system for a spinning spacecraft. Z is parallel to the spacecraft spin
								vector. X is in the plane defined by Z and the spacecraft-Sun line, positive sunward.
								See <http://cdpp.cnes.fr/00428.pdf>"
SSE,"Spacecraft Solar Ecliptic - A coordinate system used for
								deep space spacecraft, for example Helios. - X axis from spacecraft to Sun. Z axis
								normal to ecliptic plane, positive northward. Note: Angle between normals to ecliptic
								and to Helios orbit plane ~ 0.25 deg."
SSE_L,"Selenocentric Solar Ecliptic. The X axis points from the
								center of the Earth's moon to the sun, the Z axis is normal to the ecliptic plane,
								positive northward. And the Y axis completes the right-handed set of axes."
StackPlot,"A representation of data showing multiple sets of
								observations on a single plot, possibly offsetting each plot by some uniform amount."
StandardDeviation,"The square root of the average of the squares of
								deviations about the mean of a set of data. Standard deviation is a statistical measure
								of spread or variability."
StartDate,The specification of a starting point in time.
StartLocation,The initial position in space.
StokesParameters,"A set of four parameters (usually called I,Q, U and V)
								which describe the polarization state of an electromagnetic wave propagating through
								space."
StopDate,The specification of a stopping point in time.
StopLocation,The final position in space.
Storage,"The component of your computer that allows you to store
								and access data on a long-term basis. Indicate units with standard byte scales such as
								KB, MB, GB, TB and PB."
Strahl,"A distribution of particles concentrated in a narrow
								energy band. The band may be may be aligned with a secondary feature. For example, it
								may occur in a narrow cone aligned with the mean magnetic field direction."
Stratosphere,"The layer of the atmosphere that extends from the
								troposphere to about 30 km, temperature increases with height. The stratosphere contains
								the ozone layer."
StreamInteractionRegion,"The region (SIR) where two solar wind streams, typically
								having differing characteristics and solar sources, abut up against (and possibly
								partially interpenetrate) each other."
Strong,"Highly likely given the available evidence. Considered in
								the range of 7-10 on a scale of 0-10."
Structure,"The organization and relationship of individual values
								within a quantity."
Style,The manner in which a response from a URL is presented.
SubAuroralRegion,"When considering the case of the Earth, the sub-auroral
								region typically refers to two latitudinal bands, one in the northern hemisphere and the
								other in the southern hemisphere extending from about 50 degrees to low 60 degrees. The
								concept sub-auroral regions does not apply to all bodies in the solar system and
								different latitudinal ranges would apply for each body case by case. The sub-auroral
								regions may be defined by using either planetographic or magnetic coordinates if the
								magnetic dipole is closely aligned with the spin axis of a magnetized body. Ground
								magnetometers located at sub-auroral latitudes on the Earth measure a mixture of
								activity driven by auroral zone currents and the ring current."
Substorm,"A process by which plasma in the magnetotail becomes
								energized at a fast rate."
Sun,The star upon which our solar system is centered.
Superhalo,"The part of an object or distribution surrounding some
								central body or distribution evident in a second break in the distribution function
								(e.g., a different power law). It consists of a population at a higher energies than for
								a halo."
Support,"Information useful in understanding the context of an
								observation, typically observed or measured coincidentally with a physical observation."
SupportQuantity,A characterization of the support information.
Surface,The outermost area of a solid object.
Symmetric,Equal distribution about one or more axes.
TAR,"A file format used to collate collections of files into
								one larger file, for distribution or archiving, while preserving file system information
								such as user and group permissions, dates, and directory structures. The format was
								standardized by POSIX.1-1988 and later POSIX.1-2001."
TeamLeader,"An individual who is the designated leader of an
								investigation."
TeamMember,"An individual who is a major participant in an
								investigation."
TechnicalContact,"An individual who can provide specific information with
								regard to the resource or supporting software."
TechnicalNote,"A document summarizing the performance and other
								technical characteristics of a product, machine, component, subsystem or software in
								sufficient detail to be used by an engineer or researcher."
Telemetry,"Parameters that include full packets of data from
								monitoring devices or the memory addresses of datum within telemetry packets. The data
								comprising telemetry packets are typically expressed by using non-physical engineering
								units and may be used to express a variety of device operating conditions such as
								command acceptance/execution, housekeeping, event characterization, memory dumps, and
								science data. Telemetry packets may be raw or unpacked."
Temperature,"A measure of the kinetic energy of random motion with
								respect to the average. Temperature is properly defined only for an equilibrium particle
								distribution (Maxwellian distribution)."
Template,"A URI template that contains special fields as defined in
								URI Template specification <http://tsds.org/uri_templates>."
Temporal,Pertaining to time.
TemporalDescription,"A characterization of the time over which the measurement
								was taken."
Tensor,"A generalized linear ""quantity"" or ""geometrical entity""
								that can be expressed as a multi-dimensional array relative to a choice of basis of the
								particular space on which it is defined."
Tethys,The third largest moon of Saturn.
Text,"A sequence of characters which may have an imposed
								structure or organization."
ThermalPlasma,"Measurements of the plasma in the energy regime where the
								most of the plasma occurs. May be the basic fluxes in the form of distribution functions
								or the derived bulk parameters (density, flow velocity, etc.)."
ThermalSpeed,"For a Maxwellian distribution, the difference between the
								mean speed and the speed within which ~69% (one sigma) of all the members of the speed
								distribution occur."
Thermosphere,"The layer of the atmosphere that extends from the
								Mesosphere to 640+ km, temperature increasing with height."
Thumbnail,"A small representation of an image which is suitable to
								infer what the full-sized imaged is like."
TIFF,"A binary format for still pictures. Tagged Image Format
								File (TIFF). Originally developed by Aldus and now controlled by Adobe."
TIIS,"Kronian Solar Orbital - A coordinate system related to
								Saturn where X is anti-sunward, Y along the orbital velocity direction."
TimeOfFlight,"An instrument which measures the time it takes for a
								particle to travel between two detectors."
TimeSeries,"A representation of data showing a set of observations
								taken at different points in time and charted as a time series."
TimeSpan,The duration of an interval in time.
Titan,"The largest moon of Saturn and the second-largest moon in
								the Solar System."
Titania,"The largest moon of Uranus and the eighth largest moon in
								the Solar System."
Topside,The region at the upper most areas of the ionosphere.
Total,The summation of quantities over all possible species.
TotalPressure,"In an MHD fluid it is the number density (N) times
								Boltzmann constant times the temperature in Kelvin."
Trace,"The sum of the elements on the main diagonal (the
								diagonal from the upper left to the lower right) of a square matrix."
TransitionRegion,"A very narrow (<100 km) layer between the chromosphere
								and the corona where the temperature rises abruptly from about 8000 to about 500,000 K."
Triton,The largest moon of Neptune.
Troposphere,"The lowest layer of the atmosphere which begins at the
								surface and extends to between 7 km (4.4 mi) at the poles and 17 km (10.6 mi) at the
								equator, with some variation due to weather factors."
UCD,"The nature of a physical parameter expressed using the
								IVOA UCD1+ controlled vocabulary."
UDF,"Universal Data Format (UDF). The Optical Technology
								Storage Association's Universal Disk Format, based on ISO 13346. See
								<http://www.osta.org/specs/index.htm>"
Ultraviolet,Photons with a wavelength range: 10 to 400 nm.
Umbriel,The third largest and fourth most massive moon of Uranus.
Uncalibrated,"Duplicate data are removed from the data stream and data
								are time ordered. Values are not adjusted for any potential biases or external factors.
								Similar to NASA Level 1."
Uncertainty,"A statistically defined discrepancy between a measured
								quantity and the true value of that quantity that cannot be corrected by calculation or
								calibration."
Unicode,Text in multi-byte Unicode format.
Units,"A description of the standardized measurement increments
								in which a value is specified. The description is represented as a mathematical phrase.
								Units should be represented by widely accepted representation. For example, units should
								conform to the International System of Units (SI) which is maintained by BIPM (Bureau
								International des Poids et Mesures (see <http://www.bipm.fr/> ) when appropriate
								or use tokens like ""Re"" to represent units of the Radius of the Earth. Within a phrase
								the circumflex (^) is used to indicate a power, a star (*) is used to indicate
								multiplication and a slash (/) division. When symbols are not separated by a
								mathematical operator, multiplication is assumed. Symbols for base units can be found
								at: <http://www.bipm.fr/en/si/si_brochure/chapter2/2-1/#symbols> and those for
								common derived units can be found at:
								<http://www.bipm.fr/en/si/derived_units/2-2-2.html>"
UnitsConversion,"The multiplicative factor for converting a unit into
								International System of Units (SI) units. The factor is expressed in the form ""number
								> x"", where ""number"" is a numerical value and ""x"" is the appropriate SI units. The
								basic SI units are Enumerated: m (meter), N (newton), kg (kilogram), Pa (pascal), s
								(second), Hz (hertz), A (ampere), V (volt), K (kelvin), W (watt), rad (radian), J
								(joule), sr (steradian), C (coulomb), T (tesla), ohm (ohm), mho (mho or seimens), H
								(henry), and F (farad). Two useful units which are not SI units are: degree (angle), and
								unitless (no units). An example is: ""1.0E-9>T"" which converts the units, presumable
								nT, to Tesla. Another example is: ""1.0e+3>m/s"" which converts a velocity expressed in
								kilometers per second to meters per second."
Unlikely,"Not likely given the available evidence. Considered in
								the range of 0 on a scale of 0-10."
Unspecified,A value which is not provided.
UpperHybridFrequency,"Upper hybrid oscillations involve longitudinal motions of
								electrons perpendicular to the magnetic field. The upper hybrid frequency,
								&Phi;<sub>UH</sub>, is governed by the
								relationship&Phi;<sub>UH</sub>^2 = &Phi;<sub>pe</sub>^2
								+ &Theta;<sub>ce</sub>^2 where &Phi;<sub>pe</sub> is
								electron plasma frequency and &Theta;<sub>ce</sub> is the electron
								cyclotron frequency."
Uranus,The eighth planet from the sun in our solar system.
URL,"Uniform Resource Locator (URL) is the global address of
								documents and other resources on the World Wide Web. The first part of the address
								indicates what protocol to use, and the second part specifies the IP address or the
								domain name where the resource is located followed by the pathname of the resource. A
								URL is specified in the form protocol://server.domain.name:port/pathname. Example
								protocols are HTTP or FTP, server domain name is the Internet name."
User,An individual who utilizes a resource or service.
ValidMax,The largest legitimate value.
ValidMin,The smallest legitimate value.
ValueAdded,"Calibrated data that has been mapped on uniform
								space-time grid scales with gaps, flags and out-of-range values replaced with
								appropriate values. Similar to NASA Level 3."
ValueFormat,"A string defining the output format used when extracting
								data values out to a file or screen. The magnitude and the number of significant figures
								needed should be carefully considered. The output format string can be in either Fortran
								or C syntax."
Variance,"A measure of dispersion of a set of data points around
								their mean value. The expectation value of the squared deviations from the mean."
VCrossB,"The cross product of the charge velocity (V) and the
								magnetic field (B). It is the electric field exerted on a point charge by a magnetic
								field."
Vector,"A set of parameter values each along some independent
								variable (e.g., components of a field in three orthogonal spatial directions;
								atmospheric temperature values at several altitudes, or at a given latitude and
								longitude;)."
Velocity,"Rate of change of position. Also used for the average
								velocity of a collection of particles, also referred to as ""bulk velocity""."
